"공간정보관리번호","X 좌표 최소값","Y 좌표 최소값","X 좌표 최대값","Y 좌표 최대값","제설함번호","관리기관명","위치상세정보","비고"
"1","198511.6","553626.4","198511.6","553626.4","가회동 1-001","종로구","북촌로11나길 10","북촌로11나길"
"2","198510.6","553653.5","198510.6","553653.5","가회동 1-002","종로구","북촌로11길 35-7","북촌로11길"
"3","198545.8","553706.0","198545.8","553706.0","가회동 1-003","종로구","북촌로11길 48","북촌로11길"
"4","198566.0","553769.0","198566.0","553769.0","가회동 1-004","종로구","북촌로11가길 46","북촌로11가길"
"5","198704.4","553963.2","198704.4","553963.2","가회동 1-005","종로구","북촌로 94","북촌로"
"6","198732.5","553742.7","198732.5","553742.7","가회동 1-006","종로구","창덕궁길 189","창덕궁길"
"7","198799.6","553737.3","198799.6","553737.3","가회동 1-007","종로구","창덕궁길 174","창덕궁길"
"8","198846.4","553722.0","198846.4","553722.0","가회동 1-008","종로구","계동길 128","계동길"
"9","198890.4","553730.3","198890.4","553730.3","가회동 1-009","종로구","창덕궁길 152","창덕궁길"
"10","198953.3","553729.1","198953.3","553729.1","가회동 1-010","종로구","창덕궁길 144","창덕궁길"
"11","199030.3","553713.3","199030.3","553713.3","가회동 1-011","종로구","창덕궁길 130","창덕궁길"
"12","198936.4","553316.7","198936.4","553316.7","가회동 1-012","종로구","창덕궁1길 18","창덕궁1길"
"13","198916.2","553318.4","198916.2","553318.4","가회동 1-013","종로구","계동2길 26","계동2길"
"14","198744.0","553296.2","198744.0","553296.2","가회동 1-014","종로구","북촌로4길 7","북촌로4길"
"15","198726.0","553490.2","198726.0","553490.2","가회동 1-015","종로구","북촌로8길 7","북촌로8길"
"16","198746.2","553601.1","198746.2","553601.1","가회동 1-016","종로구","북촌로12길 14","북촌로12길"
"17","198740.7","553680.7","198740.7","553680.7","가회동 1-017","종로구","북촌로12길 29-1","북촌로12길"
"18","198817.8","553699.3","198817.8","553699.3","가회동 1-018","종로구","계동길 121-8","계동길"
"19","198889.4","553633.9","198889.4","553633.9","가회동 1-019","종로구","계동4길 10","계동4길"
"20","198975.7","553421.7","198975.7","553421.7","가회동 1-020","종로구","창덕궁1가길 25","창덕궁1가길"
"21","198992.8","553382.4","198992.8","553382.4","가회동 1-021","종로구","창덕궁3가길 35","창덕궁3가길"
"22","198989.5","553470.4","198989.5","553470.4","가회동 1-022","종로구","창덕궁3가길 54","창덕궁3가길"
"23","199010.3","553530.3","199010.3","553530.3","가회동 1-023","종로구","창덕궁3길 7","창덕궁3길"
"24","198983.0","553551.0","198983.0","553551.0","가회동 1-024","종로구","창덕궁3나길 6","창덕궁3나길"
"25","199003.4","553628.1","199003.4","553628.1","가회동 1-025","종로구","창덕궁3길 30","창덕궁3길"
"26","198954.9","553640.7","198954.9","553640.7","가회동 1-026","종로구","창덕궁3길 33-6","창덕궁3길"
"27","199006.3","553680.7","199006.3","553680.7","가회동 1-027","종로구","창덕궁3길 39","창덕궁3길"
"28","198733.0","553404.3","198733.0","553404.3","가회동 1-028","종로구","북촌로6길 11","북촌로6길"
"29","198754.3","553673.4","198754.3","553673.4","가회동 1-029","종로구","북촌로12길 28","북촌로12길"
"30","198650.9","553094.3","198650.9","553094.3","가회동 1-030","종로구","북촌로15","북촌로15"
"31","198598.0","553404.3","198598.0","553404.3","가회동 1-031","종로구","북촌로9길 16-6","북촌로9길"
"32","198932.1","553659.5","198932.1","553659.5","가회동 1-032","종로구","계동4길 19","계동4길19"
"33","199028.7","553570.0","199028.7","553570.0","가회동 1-033","종로구","창덕궁4길 7","창덕궁4길"
"34","198904.5","553526.3","198904.5","553526.3","가회동 1-034","종로구","계동길 84-10","계동길"
"35","200626.4","552953.4","200626.4","552953.4","56가동-001","종로구","충신길 78","충신길"
"36","200675.3","552804.9","200675.3","552804.9","56가동-002","종로구","충신길 46","충신길"
"37","200701.3","552765.9","200701.3","552765.9","56가동-003","종로구","충신길 36","충신길"
"38","200707.1","552658.9","200707.1","552658.9","56가동-004","종로구","충신길 13","충신길"
"39","200734.8","552966.1","200734.8","552966.1","56가동-005","종로구","낙산성곽서길 87","낙산성곽서길"
"40","200755.5","552656.5","200755.5","552656.5","56가동-006","종로구","낙산성곽서길 25","낙산성곽서길"
"41","200652.7","552727.1","200652.7","552727.1","56가동-007","종로구","율곡로29길 10","율곡로29길"
"42","200664.7","552810.6","200664.7","552810.6","56가동-008","종로구","충신길 47","충신길"
"43","200597.7","552983.5","200597.7","552983.5","56가동-009","종로구","충신길 83-1","충신길"
"44","199994.8","552799.8","199994.8","552799.8","56가동-010","종로구","창경궁로16길 42","창경궁로16길"
"45","200645.1","552860.6","200645.1","552860.6","56가동-011","종로구","충신길 57","충신길"
"46","200692.9","553035.3","200692.9","553035.3","56가동-012","종로구","충신4나길  26","충신4나길"
"47","200679.9","552987.8","200679.9","552987.8","56가동-013","종로구","충신4나길  15","충신4나길"
"48","200655.2","552846.1","200655.2","552846.1","56가동-014","종로구","충신4길 2","충신4길"
"49","200616.5","552770.5","200616.5","552770.5","56가동-015","종로구","율곡로27길 9","율곡로27길"
"50","200704.8","552903.8","200704.8","552903.8","56가동-016","종로구","충신4길 23","충신4길"
"51","200141.8","552807.6","200141.8","552807.6","56가동-017","종로구","창경궁로16길 70","창경궁로16길"
"52","200553.2","552916.5","200553.2","552916.5","56가동-018","종로구","율곡로19가길 7-17","율곡로19가길"
"53","200733.6","552793.1","200733.6","552793.1","56가동-019","종로구","충신1길 14","충신1길"
"54","200664.3","552901.0","200664.3","552901.0","56가동-020","종로구","충신4길 11","충신4길"
"55","200749.5","552749.2","200749.5","552749.2","56가동-021","종로구","낙산성곽서길 43","낙산성곽서길"
"56","201765.5","552812.1","201765.5","552812.1","숭인2동-001","종로구","종로65길 10","종로65길"
"57","201710.6","552867.9","201710.6","552867.9","숭인2동-002","종로구","종로65가길 25","종로65가길"
"58","201672.3","552879.6","201672.3","552879.6","숭인2동-003","종로구","종로63가길 31","종로63가길"
"59","201728.1","552897.0","201728.1","552897.0","숭인2동-004","종로구","종로65길 9-17","종로65길"
"60","201700.6","552926.1","201700.6","552926.1","숭인2동-005","종로구","종로65길 33-11","종로65길"
