"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",증산초등,서울특별시 은평구 증산서길 61,,37.58238899,126.9054549,서울특별시 은평구,서부경찰서,Y,5,6,2021-04-01
"유치원",동산유치원,서울특별시 은평구 증산서길 88,,37.5839762,126.907226,서울특별시 은평구,서부경찰서,Y,1,10,2021-04-01
"유치원",무지개나라유치원,서울특별시 은평구 가좌로7다길 13,,37.58464205,126.9182852,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"초등학교",충암초등,서울특별시 은평구 가좌로5길 5,,37.5850457,126.9217386,서울특별시 은평구,서부경찰서,Y,5,6,2021-04-01
"초등학교",수색초등(병설포함),서울특별시 은평구 수색로16길 21,,37.5850571,126.895422,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"초등학교",수색초등,서울특별시 은평구 수색로16길 21,,37.58517186,126.8959863,서울특별시 은평구,서부경찰서,Y,5,6,2021-04-01
"유치원",효림유치원,서울특별시 은평구 은평터널로 51,,37.58580788,126.8995349,서울특별시 은평구,서부경찰서,Y,1,15,2021-04-01
"어린이집",구립응암어린이집,서울특별시 은평구 백련산로 36,,37.58653851,126.9231219,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"초등학교",응암초등,서울특별시 은평구 가좌로6길 20,,37.588281,126.9217624,서울특별시 은평구,서부경찰서,Y,10,4,2021-04-01
"초등학교",연은초등,서울특별시 은평구 백련산로2길 35,,37.59051113,126.925112,서울특별시 은평구,서부경찰서,Y,1,20,2021-04-01
"초등학교",서신초등(병설포함),서울특별시 은평구 은평터널로 150,,37.5923108,126.9074411,서울특별시 은평구,서부경찰서,Y,1,8,2021-04-01
"초등학교",서신초등,서울특별시 은평구 은평터널로 150,,37.592327,126.9074411,서울특별시 은평구,서부경찰서,Y,7,8,2021-04-01
"초등학교",신사초등,서울특별시 은평구 가좌로 275-2,,37.592614,126.9121215,서울특별시 은평구,서부경찰서,Y,3,5,2021-04-01
"유치원",와우랩유치원,서울특별시 은평구 응암로28길 34,,37.5941047,126.9215813,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"어린이집",아이젤어린이집,서울특별시 은평구 응암로22길 9-9,,37.594548,126.9192581,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"유치원",다우림유치원,서울특별시 은평구 증산로21길 22,,37.596197,126.912308,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"어린이집",홍익어린이집,서울특별시 은평구 가좌로11길 5-3,,37.59629761,126.9076396,서울특별시 은평구,서부경찰서,Y,2,6,2021-04-01
"초등학교",상신초등,서울특별시 은평구 가좌로 361,,37.5976771,126.9046048862,서울특별시 은평구,서부경찰서,Y,16,5,2021-04-01
"초등학교",은명초등(병설포함),서울특별시 은평구 은평로4길 21-9,,37.5979615,126.9188333,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"어린이집",꿈나무마을어린이집,서울특별시 은평구 백련산로14길 20-11,,37.5981837,126.9281816,서울특별시 은평구,서부경찰서,Y,2,15,2021-04-01
"초등학교",은명초등,서울특별시 은평구 은평로4길 21-9,,37.59838282,126.9192243,서울특별시 은평구,서부경찰서,Y,3,6,2021-04-01
"유치원",은평국제유치원,서울특별시 은평구 은평로3가길 32,,37.599004,126.9114685,서울특별시 은평구,서부경찰서,Y,2,6,2021-04-01
"유치원",보람유치원,서울특별시 은평구 갈현로4길 42,,37.6000472,126.914225,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"어린이집",하늘어린이집,서울특별시 은평구 갈현로3길 48,,37.60078683,126.9049418,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"초등학교",은평초등,서울특별시 은평구 은평로 239,,37.60115146,126.9343137,서울특별시 은평구,서부경찰서,Y,4,22,2021-04-01
"초등학교",역촌초등,서울특별시 은평구 은평로3길 25,,37.6017363,126.9142657,서울특별시 은평구,은평경찰서,Y,7,10,2021-04-01
"초등학교",은평초등(병설포함),서울특별시 은평구 은평로 239,,37.6019568,126.9341059,서울특별시 은평구,서부경찰서,Y,1,22,2021-04-01
"초등학교",녹번초등,서울특별시 은평구 녹번로1길 1,,37.60428894,126.9257462818,서울특별시 은평구,서부경찰서,Y,8,6,2021-04-01
"어린이집",은평감리교회 어린이집,서울특별시 은평구 응암로 376,,37.6045527,126.9231161,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"어린이집",하나연어린이집,서울특별시 은평구 녹번로 29-2,,37.604894,126.928055,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"특수학교",은평대영학교,서울특별시 은평구 갈현로11길 30,,37.60566684,126.9063796,서울특별시 은평구,은평경찰서,Y,5,8,2021-04-01
"초등학교",어울초등학교,서울특별시 은평구 통일로 650,,37.60656187,126.9350575,서울특별시 은평구,서부경찰서,Y,1,11,2021-04-01
"유치원",유정유치원,서울특별시 은평구 진흥로12길 23,,37.6066376,126.926723,서울특별시 은평구,서부경찰서,Y,1,6,2021-04-01
"유치원",백합유치원,서울특별시 은평구 연서로14길 14-5,,37.608195,126.917391,서울특별시 은평구,은평경찰서,Y,2,10,2021-04-01
"초등학교",구현초등(병설포함),서울특별시 은평구 갈현로15길 51,,37.6092227,126.9058482,서울특별시 은평구,은평경찰서,Y,1,6,2021-04-01
"초등학교",구현초등,서울특별시 은평구 갈현로15길 51,,37.60972674,126.9061395,서울특별시 은평구,은평경찰서,Y,5,8,2021-04-01
"유치원",예일(예일초교 중복),서울특별시 은평구 연서로 117,,37.61029496,126.9143357,서울특별시 은평구,은평경찰서,Y,1,6,2021-04-01
"초등학교",예일초등,서울특별시 은평구 연서로 117,,37.61038063,126.9144319,서울특별시 은평구,은평경찰서,Y,4,6,2021-04-01
"초등학교",대은초등,서울특별시 은평구 통일로69길 12-15,,37.6118312,126.9261543,서울특별시 은평구,은평경찰서,Y,6,5,2021-04-01
"초등학교",구산초등,서울특별시 은평구 서오릉로15길 16,,37.61206621,126.9093757,서울특별시 은평구,은평경찰서,Y,6,6,2021-04-01
"초등학교",불광초등,서울특별시 은평구 불광로 51,,37.61299319,126.9311773,서울특별시 은평구,은평경찰서,Y,6,6,2021-04-01
"유치원",라라유치원,서울특별시 은평구 갈현로 170-1,,37.613139,126.9119458,서울특별시 은평구,은평경찰서,Y,1,6,2021-04-01
"초등학교",대조초등,서울특별시 은평구 연서로18길 17,,37.61317736,126.9196471,서울특별시 은평구,은평경찰서,Y,7,5,2021-04-01
"유치원",바다의별유치원,서울특별시 은평구 통일로 790-1,,37.615361,126.9262062,서울특별시 은평구,은평경찰서,Y,1,5,2021-04-01
"어린이집",다우림어린이집,서울특별시 은평구 갈현로19길 16,,37.615538,126.9111987,서울특별시 은평구,은평경찰서,Y,2,6,2021-04-01
"유치원",색동유치원,서울특별시 은평구 갈현로 212-1,,37.616055,126.914224,서울특별시 은평구,은평경찰서,Y,1,15,2021-04-01
"유치원",새보람유치원,서울특별시 은평구 불광로 107,,37.6162634,126.932639,서울특별시 은평구,은평경찰서,Y,1,15,2021-04-01
"어린이집",성모자애어린이집,서울특별시 은평구 통일로78길 10,,37.617722,126.923779,서울특별시 은평구,은평경찰서,Y,1,6,2021-04-01
"유치원",은혜유치원,서울특별시 은평구 통일로78가길 20,,37.6177491,126.9275474,서울특별시 은평구,은평경찰서,Y,1,5,2021-04-01
"유치원",성균관(갈현초교 중복),서울특별시 은평구 연서로27길 23,,37.6183134,126.9169211,서울특별시 은평구,은평경찰서,Y,1,4,2021-04-01
"초등학교",선일초등,서울특별시 은평구 갈현로29길 27,,37.619722,126.9126173,서울특별시 은평구,은평경찰서,Y,7,7.5,2021-04-01
"초등학교",갈현초등,서울특별시 은평구 연서로29길 31,,37.61978292,126.9166822,서울특별시 은평구,은평경찰서,Y,5,4,2021-04-01
"초등학교",수리초등,서울특별시 은평구 불광로14길 10-10,,37.62030865,126.9341382,서울특별시 은평구,은평경찰서,Y,2,6,2021-04-01
"초등학교",연천초등,서울특별시 은평구 연서로34길 22,,37.620805,126.9294874,서울특별시 은평구,은평경찰서,Y,6,10,2021-04-01
"어린이집",이삭어린이집,서울특별시 은평구 연서로37길 19,,37.62318182,126.9262941,서울특별시 은평구,은평경찰서,Y,1,6,2021-04-01
"어린이집",수성어린이집,서울특별시 은평구 갈현로33가길 24-1,,37.623555,126.913447,서울특별시 은평구,은평경찰서,Y,2,3,2021-04-01
"초등학교",연광초등(병설포함),서울특별시 은평구 연서로35길 37,,37.6238264,126.924019,서울특별시 은평구,은평경찰서,Y,1,5,2021-04-01
"초등학교",연광초등,서울특별시 은평구 연서로35길 37,,37.623843,126.9240662,서울특별시 은평구,은평경찰서,Y,9,5,2021-04-01
"어린이집",우정어린이집,서울특별시 은평구 갈현로 41길 26-2,,37.62541849,126.9149527,서울특별시 은평구,은평경찰서,Y,1,4,2021-04-01
"초등학교",연신초등,서울특별시 은평구 연서로 347,,37.6262605,126.9282737,서울특별시 은평구,서부경찰서,Y,4,6,2021-04-01
"어린이집",진관어린이집,서울특별시 은평구 진관1로 40,,37.6304386,126.9236287,서울특별시 은평구,은평경찰서,Y,1,28,2021-04-01
"초등학교",신도초등(병설포함),서울특별시 은평구 진관1로 77-23,,37.6327684,126.929152,서울특별시 은평구,은평경찰서,Y,1,15,2021-04-01
"초등학교",신도초등,서울특별시 은평구 진관1로 77-23,,37.632785,126.9291409,서울특별시 은평구,은평경찰서,Y,2,15,2021-04-01
"초등학교",은진초등,서울특별시 은평구 진관1로 21-20,,37.63287164,126.9210647,서울특별시 은평구,은평경찰서,Y,2,12,2021-04-01
"유치원",진관유치원,서울특별시 은평구 진관2로 111-16,,37.6347136,126.930959,서울특별시 은평구,은평경찰서,Y,1,12,2021-04-01
"유치원",숲유치원,서울특별시 은평구 진관2로 37,,37.6370354,126.917566,서울특별시 은평구,은평경찰서,Y,1,20,2021-04-01
"초등학교",은빛초등,서울특별시 은평구 진관3로 73-17,,37.64267077,126.9190913,서울특별시 은평구,은평경찰서,Y,2,12,2021-04-01
"유치원",동북유치원,서울특별시 은평구 진관4로 31,,37.64432515,126.9248133,서울특별시 은평구,은평경찰서,Y,1,10,2021-04-01
"초등학교",진관초등,서울특별시 은평구 진관4로 78-16,,37.645052,126.9291301,서울특별시 은평구,은평경찰서,Y,4,15,2021-04-01
"초등학교",북한산초등,서울특별시 은평구 대서문길 42-3,,37.65423415,126.9503078,서울특별시 은평구,은평경찰서,Y,1,6,2021-04-01
"어린이집",내일어린이집,서울특별시 은평구 응암로16길 20-9,,37.5909420000,126.9195010000,서울특별시 은평구,서부경찰서,Y,1,7.6,2021-04-01
"유치원",서울역촌유치원,서울특별시 은평구 진흥로7길 25,,37.6041960000,126.9188633000,서울특별시 은평구,은평경찰서,Y,1,8,2021-04-01
"유치원",서울산울림유치원,서울특별시 은평구 진관4로 93,,37.6480691300,126.9298271000,서울특별시 은평구,은평경찰서,Y,1,20,2021-04-01
"유치원",서문유치원,서울특별시 은평구 가좌로10길 10,,37.5922600000,126.9166500000,서울특별시 은평구,서부경찰서,Y,,5.5,2021-04-01
"유치원",자연유치원,서울특별시 은평구 통일로 630-1,,37.6029800000,126.9353900000,서울특별시 은평구,서부경찰서,Y,,11,2021-04-01
"어린이집",보듬손어린이집,서울특별시 은평구 통일로78길 16,,37.6311900000,126.9177600000,서울특별시 은평구,은평경찰서,Y,,7,2021-04-01
