관리번호,급경사지명,시행청명,관리주체구분,시도,시군구,상세주소,도로명상세주소,산주소여부,주지번,부지번
4272000077,홍천-26,홍천군,지자체(시군구),강원도,홍천군,,,Y,3,2
4272000132,홍천-25(홍천103호선),홍천군,지자체(시군구),강원도,홍천군,,,Y,81,1
4272000078,홍천-27,홍천군,지자체(시군구),강원도,홍천군,,,Y,45,0
4272000206,홍천-72,홍천군청,지자체(시군구),강원도,홍천군,,,,1557,4
4811000056,대원동 1-19,창원시,지자체(시군구),경상남도,창원시 성산구,,,N,1,19
4811000059,삼동동 산 15-14,창원시,지자체(시군구),경상남도,창원시 성산구,,,Y,15,14
4679000025,백아면방리,화순군,지자체(시군구),전라남도,화순군,,,Y,158,
4679000026,백아면방리,화순군,지자체(시군구),전라남도,화순군,,,Y,155,
4679000027,백아면임곡,화순군,지자체(시군구),전라남도,화순군,,,Y,44,3
4679000028,백아면와천,화순군,지자체(시군구),전라남도,화순군,,,Y,60,2
4679000029,백아면와천,화순군,지자체(시군구),전라남도,화순군,,,Y,114,12
4679000030,백아면수리,화순군,지자체(시군구),전라남도,화순군,,,Y,116,1
4679000031,백아면원리,화순군,지자체(시군구),전라남도,화순군,,,Y,19,
4679000032,백아면남치,화순군,지자체(시군구),전라남도,화순군,,,Y,2,
4679000082,백아면원리,화순군,지자체(시군구),전라남도,화순군,,,,77,1
4679000084,백아면맹리,화순군,지자체(시군구),전라남도,화순군,,,Y,6,4
4679000115,사평면 복교지구,화순군,지자체(시군구),전라남도,화순군,,,Y,20,5
4679000114,사평면 남계지구,화순군,지자체(시군구),전라남도,화순군,,,Y,96,1
4679000116,사평면 유마지구,화순군,지자체(시군구),전라남도,화순군,,,Y,20,1
4275000070,녹전지구,영월군,지자체(시군구),강원도,영월군,,,Y,57,5
4275000111,직동지구,영월군,지자체(시군구),강원도,영월군,,,Y,1,1
4275000183,직동2지구,영월군,지자체(시군구),강원도,영월군,,,Y,1,37
4275000240,직동6지구,영월군,지자체(시군구),강원도,영월군,,,Y,1,1
3171000340,상천리 산9-4,울산광역시 울주군,지자체(시군구),울산광역시,울주군,,,Y,9,4
3171000020,삼남 신화지구 산68-5,울산광역시 울주군,지자체(시군구),울산광역시,울주군,(군도4호선),,Y,68,5
3171000395,교동리 산86-25,울산광역시 울주군,지자체(시군구),울산광역시,울주군,,,Y,86,25
3171000417,울주군 삼남면 교동리 1177-1,울산광역시 종합건설본부,지자체(시군구),울산광역시,울주군,,,,1177,1
4372000081,광포지구,보은군,지자체(시군구),충청북도,보은군,,,,466,3
4671000076,외동저수지 관리도로(4671010045),전남지역본부 담양지사,한국농어촌공사,전라남도,담양군,,,Y,64,8
4775000010,암전동,청송군,지자체(시군구),경상북도,청송군,,,Y,25,
4775000126,얼음골,청송군,지자체(시군구),경상북도,청송군,,,Y,23,2
3171000243,문죽지구(남부순환),울산광역시 종합건설본부,지자체(시군구),울산광역시,울주군,,,Y,34,3
3171000242,문죽지구(남부순환),울산광역시 종합건설본부,지자체(시군구),울산광역시,울주군,,,Y,36,11
4146100007,원덕 제방,용인시,지자체(시군구),경기도,용인시 처인구,,,Y,90,
2771000017,옥포기세지구,달성군,지자체(시군구),대구광역시,달성군,,,Y,16,1
2771000070,옥포김흥지구,달성군청,지자체(시군구),대구광역시,달성군,,,N,137,4
2771000020,현풍오산지구,달성군청,지자체(시군구),대구광역시,달성군,,,,668,1
2771000021,현풍오산지구,달성군,지자체(시군구),대구광역시,달성군,,,Y,102,4
2771000022,현풍오산지구,달성군,지자체(시군구),대구광역시,달성군,,,Y,15,1
2771000072,현풍지리지구,달성군청,지자체(시군구),대구광역시,달성군,,,Y,30,1
2771000073,유가음리지구,달성군청,지자체(시군구),대구광역시,달성군,,,Y,35,
2771000074,유가음리지구,달성군청,지자체(시군구),대구광역시,달성군,,,Y,36,1
2771000023,유가용리지구,달성군,지자체(시군구),대구광역시,달성군,,,Y,17,1
2671000092,정관면 달산리 148-15,기장군,지자체(시군구),부산광역시,기장군,(주)이래fr 앞 정관농공단지 도로법면(완충녹지),,,148,15
2671000058,정관면 병산리 산88-1,기장군,지자체(시군구),부산광역시,기장군,,,Y,88,1
3171000091,신불산국립공원,산림공원과,지자체(시군구),울산광역시,울주군,,,Y,181,
4577000176,매우(모정),순창군,지자체(시군구),전라북도,순창군,모정리-매우리로 마을명 변경,,Y,95,
4571000026,구억리 254(하이지구),완주군,지자체(시군구),전라북도,완주군,,,,254,0
4825000052,장유26지구,김해시,지자체(시군구),경상남도,김해시,두부마을 옆,,,937,5
4825000053,장유27지구,김해시,지자체(시군구),경상남도,김해시,다복붙밧이씽크산업 옆 사면,,,596,
4825000055,장유29지구,김해시,지자체(시군구),경상남도,김해시,삼문초등학교 맞은편 사면,,,806,
4825000056,장유30지구,김해시,지자체(시군구),경상남도,김해시,장유 대성교회 뒷사면,,,96,1
4825000063,장유37지구,김해시,지자체(시군구),경상남도,김해시,국도1020호선 대청휴게소 맞은편,,Y,44,
4825000065,장유39지구,김해시,지자체(시군구),경상남도,김해시,계동로 137번길 입구,,,167,
4825000066,장유40지구,김해시,지자체(시군구),경상남도,김해시,짬모텔 길건너 맞은편 사면,,,299,
4825000067,장유41지구,김해시,지자체(시군구),경상남도,김해시,롯데마트 좌측 옹벽사면,,,299,
4825000068,장유42지구,김해시,지자체(시군구),경상남도,김해시,장유문화센터 옆 사면,,,299,
4825000069,장유43지구,김해시,지자체(시군구),경상남도,김해시,하늘사랑 유치원 맞은편 옹벽사면,,,366,
4825000070,장유44지구,김해시,지자체(시군구),경상남도,김해시,석화꽃유지풀무지유치원 우측사면,,,983,14
4825000085,장유59지구,김해시,지자체(시군구),경상남도,김해시,신안초등학교 뒤편 4차로 우측사면,,,477,
4825000088,장유62지구,김해시,지자체(시군구),경상남도,김해시,덕정공원 동쪽 8차로 우측사면,,,478,
4825000090,장유64지구,김해시,지자체(시군구),경상남도,김해시,덕정공원 서쪽방향 부영9차 남측,,,421,1
4825000101,장유75지구,김해시,지자체(시군구),경상남도,김해시,김해 외국어고등학교 입구 우측 사면,,,266,2
4825000029,장유3지구,김해시,지자체(시군구),경상남도,김해시,수자원시설 입구,,,636,3
4825000037,장유11지구,김해시,지자체(시군구),경상남도,김해시,능동공원 입구 부근,,,928,
4825000044,장유18지구,김해시,지자체(시군구),경상남도,김해시,능동공원 맞은편 축구장 내,,,916,
4825000047,장유21지구,김해시,지자체(시군구),경상남도,김해시,족구장 서측 사면,,,916,
4825000048,장유22지구,김해시,지자체(시군구),경상남도,김해시,능동공원앞 축구장 입구,,,916,
3171000416,청량 율리 1482,울산광역시 울주군,지자체(시군구),울산광역시,울주군,,,,1482,
3171000415,청량 율리 1485,울산광역시 울주군,지자체(시군구),울산광역시,울주군,,,,1485,
3171000358,청량읍 삼정리 601-7,울산광역시 울주군,지자체(시군구),울산광역시,울주군,,,,601,7
3171000357,청량 문죽지구(문죽리 산22-1),울산광역시 울주군,지자체(시군구),울산광역시,울주군,,,Y,22,1
