,juso,lat,lon,x,y
0,서울특별시 은평구 수색로 193,37.578087200000006,126.89958940000001,191130.40124108156,553175.5875362012
1,서울특별시 은평구 수색로 216,37.5836106,126.89327390000001,190573.2286099956,553789.2369954837
2,서울특별시 은평구 수색로 217,37.5795991,126.89872140000001,191053.9088167944,553343.4734495276
3,서울특별시 은평구 수색로 220,37.5801593,126.89908229999999,191085.85445406186,553405.6149507605
4,서울특별시 은평구 수색로 222,37.5801593,126.89908229999999,191085.85445406186,553405.6149507605
5,서울특별시 은평구 수색로 224,37.5803441,126.89880330000001,191061.23223559116,553426.152152257
6,서울특별시 은평구 수색로 226,37.5805979,126.8983784,191023.73101300234,553454.3615713287
7,서울특별시 은평구 수색로 228,37.5805979,126.8983784,191023.73101300234,553454.3615713287
8,서울특별시 은평구 수색로 229,37.5836106,126.89327390000001,190573.2286099956,553789.2369954837
9,서울특별시 은평구 수색로 232,37.5808227,126.8980456,190994.36174979695,553479.3436593126
10,서울특별시 은평구 수색로 234,37.5809966,126.897948,190985.76169993612,553498.6539384455
11,서울특별시 은평구 수색로 235,37.5836106,126.89327390000001,190573.2286099956,553789.2369954837
12,서울특별시 은평구 수색로 236,37.581122,126.897774,190970.4074457966,553512.5886199615
13,서울특별시 은평구 수색로 236-1,37.581177000000004,126.8974879,190945.14297089784,553518.7205307342
14,서울특별시 은평구 수색로 238,37.5812491,126.89739170000001,190936.65439726628,553526.7320862802
15,서울특별시 은평구 수색로 240,37.5812783,126.89723959999999,190923.2230130192,553529.9876385449
16,서울특별시 은평구 수색로 242,37.58144,126.8970844,190909.53392804874,553547.9495042195
17,서울특별시 은평구 수색로 242-1,37.5813403,126.89731570000001,190929.95241292924,553536.861582758
18,서울특별시 은평구 수색로 242-2,37.5812491,126.89739170000001,190936.65439726628,553526.7320862802
19,서울특별시 은평구 수색로 245,37.5809153,126.89686680000001,190890.2495289917,553489.7348571857
20,서울특별시 은평구 수색로 246,37.5816958,126.8968881,190892.2260370085,553576.3594061893
21,서울특별시 은평구 수색로 248,37.5817114,126.8965324,190860.8092996627,553578.1253729359
22,서울특별시 은평구 수색로 249,37.5813449,126.89597169999999,190811.23816597924,553537.5027382068
23,서울특별시 은평구 수색로 250,37.5818859,126.8963113,190841.3011265161,553597.5144203564
24,서울특별시 은평구 수색로 253,37.5815943,126.8957676,190793.24083331355,553565.2032825382
