번호,이름,면적,제설함 개수,면적/제설함,급경사지,결빙사고,,
11,종로,23.91,436,0.0548,4,-,,
22,동작,16.35,233,0.0702,2,-,,
25,중구,9.96,123,0.0810,5,-,,
24,금천,13.01,152,0.0856,2,-,,"상위,하위 5개 제외 후 평균"
23,동대문,14.21,159,0.0894,5,-,,0.1732
7,관악,29.57,319,0.0927,0,-,,
21,성동,16.85,177,0.0952,5,-,,
9,성북,24.57,195,0.1260,4,-,,
13,강북,23.60,168,0.1405,2,-,,
3,강남,39.54,262,0.1509,9,-,,
16,구로,20.11,129,0.1559,0,-,,
18,서대문,17.61,110,0.1601,4,-,,
10,영등포,24.57,149,0.1649,1,-,,
4,노원,35.42,201,0.1762,5,-,,
20,광진,17.05,93,0.1833,1,-,,
19,양천,17.40,85,0.2047,0,-,,
15,도봉,20.70,101,0.2050,12,-,,
14,용산,21.87,91,0.2403,13,-,,
17,중랑,18.50,76,0.2434,4,-,,
12,마포,23.88,92,0.2596,3,-,,
8,강동,24.58,93,0.2643,3,-,,
2,강서,41.43,136,0.3046,2,2,,평균에 맞는 제설함 개수
6,은평,29.71,80,0.3714,9,1,,171.4901088
1,서초,47.03,117,0.4020,2,0,,
5,송파,33.88,63,0.5378,0,-,,
,,,3840,,,,,
