관리번호,급경사지명,시행청명,관리주체구분,시도,시군구,상세주소,도로명상세주소,산주소여부,주지번,부지번,,,,
1111000049,부암동227-9 절개지,종로구청,지자체(시군구),서울특별시,종로구,옹벽,,N,227,9,,,,
1111000069,내부순환로(성산방향) 정릉~홍지문터널 사이 우측,서울시설공단,지자체(시군구),서울특별시,종로구,내부순환로(성산방향) 정릉~홍지문터널 사이 우측,,Y,35,0,,,,
1111000070,내부순환로(성동방향) 홍지문터널 입구 갱구부 사면,서울시설공단,지자체(시군구),서울특별시,서대문구,내부순환로(성동방향) 홍지문터널 입구 갱구부 사면,,Y,1,1,,,,
1111000091,북한02-03-01,북한산국립공원사무소,국립공원관리공단,서울특별시,종로구,구기계곡삼거리~승가사 방면(철제다리 건너),,Y,3,1,,,,
1111000092,북한03-03-02,북한산국립공원사무소,국립공원관리공단,서울특별시,종로구,구기계곡삼거리~대남문방향,,Y,3,1,,,,
1114000006,신당6동 시설녹지,중구청 (공원녹지과),지자체(시군구),서울특별시,중구,신당6동 (금호여중 절개지),,N,839,7,,,,
1114000007,신당2동 시설녹지,중구청 (공원녹지과),지자체(시군구),서울특별시,중구,신당2동 시설녹지,,N,826,23,,,,
1114000016,광희문교회앞,중구,지자체(시군구),서울특별시,중구,광희문교회,,N,304,253,,,,
1114000018,금호여중앞,중구,지자체(시군구),서울특별시,중구,금호여중학교(전관동 주2),,N,36,237,,,,
1114000020,버티고개 공영주차장 맞은편,중구,지자체(시군구),서울특별시,중구,신당동 432-2190,동호로17길,N,,,,,,
1117000006,동자동급경사지,용산구청,지자체(시군구),서울특별시,용산구,동자동 14-72,,N,14,72,,,,
1117000046,효창동 마포구계 옹벽,용산구청,지자체(시군구),서울특별시,용산구,서울특별시 용산구 효창동 5-711,백범로,N,5,711,,,,
1117000048,반포대교입구 옹벽,용산구청,지자체(시군구),서울특별시,용산구,50-2~160,반포로,N,50,2,,,,
1117000050,소월길 옹벽,용산구청,지자체(시군구),서울특별시,용산구,44531,소월길,N,12,1,,,,
1117000051,효창원로 용문시장방향좌 옹벽,용산구청,지자체(시군구),서울특별시,용산구,서울특별시 용산구 용문동 38-9,효창원로,N,38,9,,,,
1117000052,독서당길 옹벽,용산구청,지자체(시군구),서울특별시,용산구,서울특별시 용산구 한남동 60-64,독서당길,N,20,24,,,,
1117000055,서빙고로 옹벽,용산구청,지자체(시군구),서울특별시,용산구,서울특별시 용산구 서빙고동 199-4 ~ 185-4,서빙고로,N,199,4,,,,
1117000057,후암동길 옹벽,용산구청,지자체(시군구),서울특별시,용산구,서울특별시 용산구 후암동 100-3,후암동길,N,100,3,,,,
1117000061,장문로6길 옹벽,용산구청,지자체(시군구),서울특별시,용산구,서울특별시 용산구 동빙고동 307-2,장문로,N,307,2,,,,
1117000065,용산동2가 5-224,용산구청,지자체(시군구),서울특별시,용산구,용산동2가 5-224,신흥로16길,N,5,224,,,,
1117000066,이태원동 259-16,용산구청,지자체(시군구),서울특별시,용산구,서울특별시 용산구 이태원동 259-16,소월로,N,259,16,,,,
1117000067,한남동 산9-23,용산구청,지자체(시군구),서울특별시,용산구,서울특별시 용산구 한남동 산 9-23,장충단로,Y,9,23,,,,
1117000068,서계동 33-176,용산구청,지자체(시군구),서울특별시,용산구,서울특별시 용산구 서계동 33-176,청파로 73길,N,33,176,,,,
1117000069,후암동 45-52,용산구청,지자체(시군구),서울특별시,용산구,서울특별시 용산구 후암동 45-52,후암로28마길,N,45,52,,,,
1120000051,금호동1507 앞 옹벽,성동구청,지자체(시군구),서울특별시,성동구,브라운스톤금호,,N,1507,0,,,,
1120000058,옥수동435-1 앞 옹벽,성동구청,지자체(시군구),서울특별시,성동구,레미테지,,N,435,1,,,,
1120000095,왕십리2동 991-72,성동구청,지자체(시군구),서울특별시,성동구,왕십리2동991-72,,N,,,,,,
1120000096,마장동568-8 앞 옹벽,성동구청,지자체(시군구),서울특별시,성동구,마장동568-8,,N,,,,,,
1120000097,금호4가동 800 앞 옹벽,성동구청,지자체(시군구),서울특별시,성동구,금호동4가 800,,N,,,,,,
1121500003,중곡동 176-1 석축,성동광진교육지원청,지자체(시군구),서울특별시,광진구,용곡초등학교 뒤,,N,176,1,,,,
1123000006,답십리동 2-12 구름다리육교옹벽(답십리로 우측),동대문구청,지자체(시군구),서울특별시,동대문구,(답십리동 2-297),답십리로  우측,Y,2,12,,,,
1123000040,전농동1-188옹벽,동대문구청,지자체(시군구),서울특별시,동대문구,서울시 동대문구 전농동 1-188,서울특별시 동대문구 한천로 247,N,1,188,,,,
1123000041,답십리동10-4옹벽,동대문구청,지자체(시군구),서울특별시,동대문구,답십리동 10-4,서울특별시 동대문구 한천로17길,N,10,4,,,,
1123000042,수도권 경원선3,한국철도시설공단,한국철도시설공단,서울특별시,동대문구,상선,,N,344,,,,,
1123000043,수도권 경원선4,한국철도시설공단,한국철도시설공단,서울특별시,동대문구,하선,,N,344,,,,,
1126000023,북부간선도로(구리방향) 구리시계전 우측,서울시설공단,지자체(시군구),서울특별시,중랑구,북부간선도로(구리방향) 구리시계전 우측,,Y,1,7,,,,
1126000152,중랑문화체육관 옹벽,중랑구,지자체(시군구),서울특별시,중랑구,중랑문화체육관,,N,519,0,,,,
1126000161,수도권 경춘선1,한국철도시설공단,한국철도시설공단,서울특별시,중랑구,"서울시 중랑구 망우동 산12-3, 산17-2, 산14-2",,Y,17,2,,,,
