소재지 도로명주소,lat,lon
서울특별시 은평구 응암로 353 (녹번동),37.60295,126.92222
서울특별시 은평구 서오릉로 35 (녹번동),37.60553,126.93228
서울특별시 은평구 응암로13길 11-7 (응암동),37.58956,126.91652
서울특별시 은평구 연서로48길 41 (진관동),37.63919,126.93809
서울특별시 은평구 수색로 272-1 (수색동),37.58329,126.89435
서울특별시 은평구 증산로15길 26 (신사동),37.5901,126.91043
"서울특별시 은평구 증산로15길 35-8(신사동, 상가11동)",37.58954,126.9096
서울특별시 은평구 응암로 348 (녹번동),37.60237,126.92274
서울특별시 은평구 연서로21길 27-20 (갈현동),37.61522,126.91426
"서울특별시 은평구 진흥로 47,(역촌동)",37.60682,126.91427
서울특별시 은평구 연서로 17 (역촌동),37.60671,126.92258
서울특별시 은평구 서오릉로 30-17 (녹번동),37.60461,126.92589
서울특별시 은평구 연서로15길 27-2 (구산동),37.61191,126.91357
서울특별시 은평구 통일로57길 5-10 (녹번동),37.60484,126.93405
서울특별시 은평구 갈현로 270(갈현동),37.62187,126.91669
서울특별시 은평구 통일로72길 31 (불광동),37.61918,126.92491
"서울특별시 은평구 수색로14길 5-3, 5층 (수색동)",37.58264,126.89669
"서울특별시 은평구 수색로14길 5-3, 6층 (수색동)",37.58264,126.89677
"서울특별시 은평구 갈현로 270, 4층 (갈현동)",37.62187,126.916673
서울특별시 은평구 서오릉로13길 10 (구산동),37.61289,126.91363
"서울특별시 은평구 가좌로 306, 2층 (신사동)",37.59585,126.91112
"서울특별시 은평구 가좌로 306, 3층 (신사동)",37.59582,126.91138
"서울특별시 은평구 가좌로 306, 4층 (신사동)",37.59595,126.91112
