,num,x_min,y_min,x_max,y_max,제설함번호,lon,lat
1778,1823,194586.4,555354.9,194586.4,555354.9,은평-001,126.9386978,37.59774943
1779,1824,194555,555351.7,194555,555351.7,은평-002,126.9383423,37.59772041
1780,1825,194499.8,555419.9,194499.8,555419.9,은평-003,126.9377167,37.59833456
1781,1826,194510.1,555454.8,194510.1,555454.8,은평-004,126.9378331,37.59864907
1782,1827,194427.3,555499.8,194427.3,555499.8,은평-005,126.9368951,37.59905402
1783,1828,194456.4,555517,194456.4,555517,은평-006,126.9372245,37.59920916
1784,1829,193339.4,557335.7,193339.4,557335.7,은평-007,126.9245591,37.61558804
1785,1830,193563,557173.7,193563,557173.7,은평-008,126.9270931,37.61413003
1786,1831,193469.8,557275.5,193469.8,557275.5,은평-009,126.9260366,37.61504658
1787,1832,193129.9,557524,193129.9,557524,은평-010,126.9221844,37.61728306
1788,1833,192927.5,558660.9,192927.5,558660.9,은평-011,126.9198809,37.62752484
1789,1834,192965,558400.7,192965,558400.7,은평-012,126.9203082,37.62518076
1790,1835,192855.1,558716.5,192855.1,558716.5,은평-013,126.9190602,37.62802523
1791,1836,193971.4,556568.9,193971.4,556568.9,은평-014,126.9317237,37.60868362
1792,1837,195283.4,556777.5,195283.4,556777.5,은평-015,126.9465813,37.61057075
1793,1838,195261.5,556757.6,195261.5,556757.6,은평-016,126.9463334,37.61039134
1794,1839,195033.3,556742.4,195033.3,556742.4,은평-017,126.943749,37.61025318
1795,1840,194903.7,556792,194903.7,556792,은평-018,126.9422808,37.61069936
1796,1841,194891.8,556765.5,194891.8,556765.5,은평-019,126.9421462,37.61046054
1797,1842,194801.2,556821.8,194801.2,556821.8,은평-020,126.9411197,37.61096729
1798,1843,194414.2,556702.7,194414.2,556702.7,은평-021,126.9367376,37.60989194
1799,1844,194422.9,556676.5,194422.9,556676.5,은평-022,126.9368363,37.60965593
1800,1845,193914.4,556582.3,193914.4,556582.3,은평-023,126.9310781,37.60880398
1801,1846,193923.9,556555.1,193923.9,556555.1,은평-024,126.9311859,37.60855897
1802,1847,193260.1,557027.9,193260.1,557027.9,은평-025,126.9236637,37.61281422
1803,1848,193273.6,557024.7,193273.6,557024.7,은평-026,126.9238167,37.61278549
1804,1849,194021.3,557788.3,194021.3,557788.3,은평-027,126.9322789,37.6196706
1805,1850,194009.1,557791.2,194009.1,557791.2,은평-028,126.9321407,37.61969665
1806,1851,193999.1,557877.5,193999.1,557877.5,은평-029,126.9320267,37.62047413
1807,1852,193989.6,557878.8,193989.6,557878.8,은평-030,126.9319191,37.62048578
1808,1853,193779.7,558307.1,193779.7,558307.1,은평-031,126.9295379,37.62434331
1809,1854,193746.7,558344.2,193746.7,558344.2,은평-032,126.9291637,37.62467736
1810,1855,193735.3,558393.9,193735.3,558393.9,은평-033,126.9290342,37.62512507
1811,1856,191473,553235.7,191473,553235.7,은평-034,126.9034672,37.57863204
1812,1857,192461.6,554987.7,192461.6,554987.7,은평-035,126.9146409,37.59442604
1813,1858,193114.6,554069.4,193114.6,554069.4,은평-036,126.9220436,37.58615735
1814,1859,193124,554089.5,193124,554089.5,은평-037,126.9221499,37.58633852
1815,1860,193074,554108,193074,554108,은평-038,126.9215836,37.58650483
1816,1861,193081.3,554130.7,193081.3,554130.7,은평-039,126.921666,37.58670941
1817,1862,192906.8,554303.6,192906.8,554303.6,은평-040,126.9196886,37.5882659
1818,1863,192249.6,554935,192249.6,554935,은평-041,126.912241,37.59394946
1819,1864,191732.2,555378.3,191732.2,555378.3,은평-042,126.9063774,37.59793905
1820,1865,191692,555369.1,191692,555369.1,은평-043,126.9059222,37.5978558
1821,1866,191591.2,555591,191591.2,555591,은평-044,126.9047783,37.59985418
1822,1867,191598.3,555647.7,191598.3,555647.7,은평-045,126.904858,37.6003651
1823,1868,192989.3,554222.1,192989.3,554222.1,은평-046,126.9206235,37.58753222
1824,1869,192976.6,554205.8,192976.6,554205.8,은평-047,126.9204799,37.58738527
1825,1870,193446.6,555491.8,193446.6,555491.8,은평-048,126.9257898,37.59897548
1826,1871,193217.4,554850.3,193217.4,554850.3,은평-049,126.9232003,37.59319396
1827,1872,193149.6,554444.7,193149.6,554444.7,은평-050,126.9224364,37.58953904
1828,1873,193198.3,554831.7,193198.3,554831.7,은평-051,126.9229842,37.59302624
1829,1874,193189,554769.3,193189,554769.3,은평-052,126.9228795,37.59246395
1830,1875,193163.4,554185,193163.4,554185,은평-053,126.9225951,37.58719927
1831,1876,193172.5,554056,193172.5,554056,은평-054,126.9226993,37.58603705
1832,1877,191954.4,555110.6,191954.4,555110.6,은평-055,126.9088964,37.59552907
1833,1878,191944.3,555120.1,191944.3,555120.1,은평-056,126.908782,37.59561457
1834,1879,191915,555049.9,191915,555049.9,은평-057,126.908451,37.59498182
1835,1880,191928.7,555050,191928.7,555050,은평-058,126.9086061,37.59498284
1836,1881,191875.7,554920.7,191875.7,554920.7,은평-059,126.9080074,37.5938174
1837,1882,191862.3,554922.9,191862.3,554922.9,은평-060,126.9078556,37.5938371
1838,1883,191828.5,554762.2,191828.5,554762.2,은평-061,126.9074747,37.59238891
1839,1884,191168.4,554026.7,191168.4,554026.7,은평-062,126.9000093,37.58575602
1840,1885,191159.7,554036,191159.7,554036,은평-063,126.8999107,37.58583973
1841,1886,191590.3,554530.2,191590.3,554530.2,은평-064,126.9047803,37.59029646
1842,1887,191580.4,554536.3,191580.4,554536.3,은평-065,126.9046681,37.59035133
1843,1888,192017.8,555230.2,192017.8,555230.2,은평-066,126.909613,37.5966072
1844,1889,191996.7,555238.6,191996.7,555238.6,은평-067,126.909374,37.5966827
1845,1890,192021.2,555293,192021.2,555293,은평-068,126.9096509,37.59717306
1846,1891,192041.8,555287.7,192041.8,555287.7,은평-069,126.9098842,37.59712548
1847,1892,192191.3,557035.2,192191.3,557035.2,은평-070,126.9115584,37.61287154
1848,1893,191680,557690.5,191680,557690.5,은평-071,126.90576,37.61877123
1849,1894,191692.4,557720.8,191692.4,557720.8,은평-072,126.9059001,37.61904434
1850,1895,191730.8,557561.2,191730.8,557561.2,은평-073,126.9063368,37.61760671
1851,1896,191762.2,557551.6,191762.2,557551.6,은평-074,126.9066926,37.6175205
1852,1897,193774.2,559197,193774.2,559197,은평-075,126.929468,37.63236115
1853,1898,194484.9,560166.9,194484.9,560166.9,은평-076,126.9375122,37.64110434
1854,1899,194364.5,560007.5,194364.5,560007.5,은평-077,126.9361492,37.63966744
1855,1900,194382.4,559990.9,194382.4,559990.9,은평-078,126.9363522,37.63951798
1856,1901,194509.4,560160.3,194509.4,560160.3,은평-079,126.9377898,37.64104502
1857,1902,194639.1,560427.5,194639.1,560427.5,은평-080,126.9392574,37.64345321
1858,1903,193759.5,558734.6,193759.5,558734.6,은평-081,126.9293054,37.62819489
