기준일ID,시간대구분,행정동코드,총생활인구수
20210101,0,11380510,39358.885
20210101,0,11380520,37878.1297
20210101,0,11380530,25210.9905
20210101,0,11380551,24761.8264
20210101,0,11380552,28941.548
20210101,0,11380560,29792.8923
20210101,0,11380570,34951.0728
20210101,0,11380580,29625.7044
20210101,0,11380590,21006.8566
20210101,0,11380600,25760.8964
20210101,0,11380625,49655.783
20210101,0,11380631,27090.6226
20210101,0,11380632,18377.2551
20210101,0,11380640,13174.0235
20210101,0,11380650,11998.6046
20210101,0,11380690,66747.7852
20210101,1,11380510,39517.5057
20210101,1,11380520,37755.0915
20210101,1,11380530,25366.7905
20210101,1,11380551,24622.4108
20210101,1,11380552,28904.3729
20210101,1,11380560,30122.2555
20210101,1,11380570,35311.7064
20210101,1,11380580,29966.9972
20210101,1,11380590,21081.226
20210101,1,11380600,25795.5522
20210101,1,11380625,49522.7088
20210101,1,11380631,26853.8878
20210101,1,11380632,18356.4427
20210101,1,11380640,13323.3336
20210101,1,11380650,12022.8386
20210101,1,11380690,66544.9071
20210101,2,11380510,39359.1824
20210101,2,11380520,37865.0643
20210101,2,11380530,25290.5065
20210101,2,11380551,24550.6749
20210101,2,11380552,29194.2471
20210101,2,11380560,30154.98
20210101,2,11380570,35162.8814
20210101,2,11380580,30004.047
20210101,2,11380590,21074.8628
20210101,2,11380600,25828.2738
20210101,2,11380625,49517.168
20210101,2,11380631,26846.1018
20210101,2,11380632,18407.9816
20210101,2,11380640,13297.5094
20210101,2,11380650,12255.0476
20210101,2,11380690,66566.2482
20210101,3,11380510,39428.5345
20210101,3,11380520,36592.7016
20210101,3,11380530,25346.2893
20210101,3,11380551,24529.0629
20210101,3,11380552,29141.4607
20210101,3,11380560,30149.585
20210101,3,11380570,36499.0771
20210101,3,11380580,30004.7334
20210101,3,11380590,21059.6373
20210101,3,11380600,25882.8421
20210101,3,11380625,49460.9898
20210101,3,11380631,26868.4345
20210101,3,11380632,18520.2453
20210101,3,11380640,13315.1338
20210101,3,11380650,12368.7858
20210101,3,11380690,66618.4307
20210101,4,11380510,39245.6113
20210101,4,11380520,36498.5079
20210101,4,11380530,25259.0499
20210101,4,11380551,24576.1893
20210101,4,11380552,29021.5072
20210101,4,11380560,30172.0802
20210101,4,11380570,36479.0224
20210101,4,11380580,30017.2376
20210101,4,11380590,21031.5002
20210101,4,11380600,25817.0736
20210101,4,11380625,49549.7674
20210101,4,11380631,26876.4777
20210101,4,11380632,18476.6558
20210101,4,11380640,13407.9894
20210101,4,11380650,12422.6744
20210101,4,11380690,66711.2527
20210101,5,11380510,39157.3348
20210101,5,11380520,36849.8684
20210101,5,11380530,25183.0846
20210101,5,11380551,24662.1979
20210101,5,11380552,28795.6471
20210101,5,11380560,29937.3368
20210101,5,11380570,36048.1584
20210101,5,11380580,29835.0312
20210101,5,11380590,21032.6337
20210101,5,11380600,25605.6531
20210101,5,11380625,49390.5517
20210101,5,11380631,27264.303
20210101,5,11380632,18301.1708
