기준일ID,시간대구분,행정동코드,총생활인구수
20201201,0,11380510,39886.8877
20201201,0,11380520,37964.0783
20201201,0,11380530,25830.8498
20201201,0,11380551,24380.3683
20201201,0,11380552,28832.1988
20201201,0,11380560,29547.4601
20201201,0,11380570,36622.1664
20201201,0,11380580,30037.8828
20201201,0,11380590,20919.0395
20201201,0,11380600,25975.6437
20201201,0,11380625,49233.3287
20201201,0,11380631,27168.7272
20201201,0,11380632,18199.1048
20201201,0,11380640,13455.0247
20201201,0,11380650,12301.2127
20201201,0,11380690,67059.6462
20201201,1,11380510,40044.463
20201201,1,11380520,37904.1782
20201201,1,11380530,25725.4315
20201201,1,11380551,24330.6956
20201201,1,11380552,28853.7726
20201201,1,11380560,29656.1676
20201201,1,11380570,36740.2284
20201201,1,11380580,30428.3018
20201201,1,11380590,20931.9327
20201201,1,11380600,26101.5149
20201201,1,11380625,49405.9031
20201201,1,11380631,26923.663
20201201,1,11380632,18229.645
20201201,1,11380640,13449.9435
20201201,1,11380650,12382.5603
20201201,1,11380690,66926.4767
20201201,2,11380510,40304.7256
20201201,2,11380520,38210.1182
20201201,2,11380530,25626.9827
20201201,2,11380551,24199.5642
20201201,2,11380552,29147.4568
20201201,2,11380560,29612.5561
20201201,2,11380570,36488.8094
20201201,2,11380580,30308.4323
20201201,2,11380590,20954.5602
20201201,2,11380600,26308.3647
20201201,2,11380625,49426.6159
20201201,2,11380631,26818.04
20201201,2,11380632,18301.0419
20201201,2,11380640,13505.337
20201201,2,11380650,12440.2993
20201201,2,11380690,67031.148
20201201,3,11380510,40253.4618
20201201,3,11380520,36109.4872
20201201,3,11380530,26118.4009
20201201,3,11380551,24265.7011
20201201,3,11380552,29065.2747
20201201,3,11380560,29700.55
20201201,3,11380570,38037.7973
20201201,3,11380580,30379.9906
20201201,3,11380590,20941.1826
20201201,3,11380600,26260.3001
20201201,3,11380625,49404.708
20201201,3,11380631,26771.6418
20201201,3,11380632,18343.9003
20201201,3,11380640,13551.3556
20201201,3,11380650,12588.7589
20201201,3,11380690,67063.9097
20201201,4,11380510,40338.1585
20201201,4,11380520,36041.6463
20201201,4,11380530,25763.5312
20201201,4,11380551,24281.0574
20201201,4,11380552,28980.3767
20201201,4,11380560,29719.9975
20201201,4,11380570,37939.8602
20201201,4,11380580,30158.835
20201201,4,11380590,20809.0818
20201201,4,11380600,26252.3832
